,new_index,temp,ph
61928,61928,30.25,7.69
61929,61929,30.19,7.72
61930,61930,30.19,7.67
61931,61931,30.19,7.65
61932,61932,30.12,7.71
61933,61933,30.19,7.69
61934,61934,30.19,7.65
61935,61935,30.19,7.6
61936,61936,30.12,7.56
61937,61937,30.12,7.57
61938,61938,30.19,7.57
61939,61939,30.12,7.55
61940,61940,30.12,7.6
61941,61941,30.12,7.59
61942,61942,30.19,7.56
61943,61943,30.19,7.58
61944,61944,30.12,7.6
61945,61945,30.12,7.58
61946,61946,30.06,7.52
61947,61947,30.06,7.54
61948,61948,30.06,7.46
61949,61949,30.12,7.37
61950,61950,30.0,7.45
61951,61951,30.0,7.42
61952,61952,30.06,7.41
61953,61953,30.06,7.45
61954,61954,30.0,7.57
61955,61955,30.0,7.56
61956,61956,30.0,7.73
61957,61957,30.0,7.67
61958,61958,30.0,7.74
61959,61959,30.0,7.76
61960,61960,29.94,7.91
61961,61961,29.94,8.08
61962,61962,29.94,8.07
61963,61963,29.94,8.06
61964,61964,29.94,8.13
61965,61965,30.0,8.18
61966,61966,29.94,8.1
61967,61967,29.94,8.09
61968,61968,29.87,7.94
61969,61969,29.81,7.85
61970,61970,29.81,7.87
61971,61971,29.87,7.84
61972,61972,29.87,7.89
61973,61973,29.75,7.84
61974,61974,29.81,7.91
61975,61975,29.81,7.95
61976,61976,29.81,7.9
61977,61977,29.81,7.9
61978,61978,29.81,7.8
61979,61979,29.75,7.8
61980,61980,29.69,7.89
61981,61981,29.69,7.86
61982,61982,29.75,7.93
61983,61983,29.69,7.96
61984,61984,29.69,8.0
61985,61985,29.69,8.03
61986,61986,29.69,7.98
61987,61987,29.62,7.98
61988,61988,29.69,8.05
61989,61989,29.62,7.99
61990,61990,29.69,8.1
61991,61991,29.62,8.12
61992,61992,29.56,8.08
61993,61993,29.56,8.01
61994,61994,29.56,8.2
61995,61995,29.56,8.26
61996,61996,29.56,8.23
61997,61997,29.56,8.26
61998,61998,29.56,8.26
61999,61999,29.5,8.27
62000,62000,29.5,8.25
62001,62001,29.56,8.16
62002,62002,29.5,8.23
62003,62003,29.5,8.22
62004,62004,29.5,8.2
62005,62005,29.5,8.23
62006,62006,29.56,8.31
62007,62007,29.5,8.3
62008,62008,29.44,8.23
62009,62009,29.44,8.24
62010,62010,29.44,8.26
62011,62011,29.5,8.27
62012,62012,29.44,8.26
62013,62013,29.44,8.26
62014,62014,29.44,8.21
62015,62015,29.44,8.24
62016,62016,29.37,8.26
62017,62017,29.44,8.16
62018,62018,29.44,8.18
62019,62019,29.37,8.04
62020,62020,29.31,8.03
62021,62021,29.37,8.02
62022,62022,29.31,7.99
62023,62023,29.31,8.03
62024,62024,29.31,8.0
62025,62025,29.31,8.02
62026,62026,29.31,8.01
62027,62027,29.31,8.1
62028,62028,29.31,8.06
62029,62029,29.31,8.01
62030,62030,29.25,7.99
62031,62031,29.25,8.03
62032,62032,29.19,8.07
62033,62033,29.25,8.04
62034,62034,29.25,8.15
62035,62035,29.31,8.19
62036,62036,29.25,8.25
62037,62037,29.25,8.21
62038,62038,29.25,8.18
62039,62039,29.19,8.2
62040,62040,29.19,8.17
62041,62041,29.19,8.12
62042,62042,29.19,8.12
62043,62043,29.19,8.08
62044,62044,29.19,8.08
62045,62045,29.19,8.08
62046,62046,29.19,8.11
62047,62047,29.12,8.07
62048,62048,29.12,8.06
62049,62049,29.06,8.06
62050,62050,29.12,8.0
62051,62051,29.19,8.05
62052,62052,29.06,8.07
62053,62053,29.12,8.0
62054,62054,29.06,8.09
62055,62055,29.12,8.09
62056,62056,29.06,8.12
62057,62057,29.06,8.11
62058,62058,29.06,8.1
62059,62059,29.06,8.21
62060,62060,29.06,8.15
62061,62061,29.06,8.22
62062,62062,29.0,8.17
62063,62063,29.06,8.25
62064,62064,29.0,8.27
62065,62065,29.0,8.35
62066,62066,29.0,8.31
62067,62067,28.94,8.35
62068,62068,29.0,8.35
62069,62069,29.0,8.44
62070,62070,29.0,8.38
62071,62071,28.94,8.39
62072,62072,28.94,8.39
62073,62073,28.94,8.5
62074,62074,28.94,8.49
62075,62075,28.94,8.51
62076,62076,28.94,8.53
62077,62077,28.94,8.53
62078,62078,28.94,8.61
62079,62079,28.94,8.59
62080,62080,28.87,8.57
62081,62081,28.94,8.56
62082,62082,28.87,8.49
62083,62083,28.94,8.52
62084,62084,28.87,8.4
62085,62085,28.87,8.49
62086,62086,28.94,8.43
62087,62087,28.87,8.3
62088,62088,28.87,8.36
62089,62089,28.81,8.39
62090,62090,28.81,8.43
62091,62091,28.81,8.5
62092,62092,28.87,8.57
62093,62093,28.94,8.51
62094,62094,28.87,8.57
